N£mero £nico de colonia,Municipios en los que se encuentra,Nombre de la colonia,C¢digo postal,Superficie en kil¢metros cuadrados,Total general,"Agentes y representantes de artistas, deportistas y similares","Artistas, escritores y t‚cnicos independientes",Billares,Boliches,Campos de golf,Cantantes y grupos musicales del sector privado,Casas de juegos electr¢nicos,Centros de acondicionamiento f¡sico del sector privado,Centros de acondicionamiento f¡sico del sector p£blico,Clubes deportivos del sector privado,Clubes deportivos del sector p£blico,Clubes o ligas de aficionados,Compa¤¡as de danza del sector privado,Compa¤¡as de teatro del sector privado,Compa¤¡as de teatro del sector p£blico,Equipos deportivos profesionales,Grupos musicales del sector p£blico,"Grutas, parques naturales y otros sitios del patrimonio cultural de la naci¢n",Jardines bot nicos y zool¢gicos del sector privado,Jardines bot nicos y zool¢gicos del sector p£blico,Marinas tur¡sticas,Museos del sector privado,Museos del sector p£blico,Otras compa¤¡as y grupos de espect culos art¡sticos del sector privado,Otros juegos de azar,Otros servicios recreativos prestados por el sector privado,Otros servicios recreativos prestados por el sector p£blico,Parques acu ticos y balnearios del sector privado,Parques acu ticos y balnearios del sector p£blico,Parques de diversiones y tem ticos del sector privado,Parques de diversiones y tem ticos del sector p£blico,"Promotores de espect culos art¡sticos, culturales, deportivos y similares que no cuentan con instalaciones para presentarlos","Promotores del sector privado de espect culos art¡sticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos","Promotores del sector p£blico de espect culos art¡sticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos",Sitios hist¢ricos,"Venta de billetes de loter¡a, pron¢sticos deportivos y otros boletos de sorteo"
1,Guadalajara,LOMAS INDEPENDENCIA,44370,209238.83,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Guadalajara,POSTES CUATES,44350,279291.11,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,Guadalajara,INDEPENDENCIA ORIENTE,44340,1244241.26,14,0,0,2,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,Guadalajara,BELISARIO DOMINGUEZ,44340,509606.32,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Guadalajara,SANTA MARIA,44350,740472.64,5,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Guadalajara,OBLATOS,44360,946633.15,8,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7,Guadalajara,REFORMA,44730,215935.25,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Guadalajara,PROGRESO,44730,287630.1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9,Guadalajara,MIRADOR,44370,227823.72,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Guadalajara,LAS HUERTAS,44730,286526.81,6,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
